
[Job Tracker] Initialized job: train-carracing-73bc635e
[Job Tracker] Job directory: jobs/train-carracing-73bc635e
[Job Tracker] Output log: jobs/train-carracing-73bc635e/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.08
Crossover rate: 0.3
Generation interval: 0.5
Episodes per evaluation: 1
Parallel workers: 8
Training CarRacing agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 16 -> [8] -> 3
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
==============================================================================================
     1 |       60 |  1.379335E+01 | -4.971731E+02 |       497.17 |       -13.79 |       497.17
     2 |      120 |  5.2309187279 | -4.971731E+02 |       497.17 |        -5.23 |       497.17
     3 |      180 | -1.064635E+00 | -4.971731E+02 |       497.17 |         1.06 |       497.17
     4 |      240 | -1.507806E+01 | -4.971731E+02 |       497.17 |        15.08 |       497.17
     5 |      300 | -2.796807E+01 | -4.971731E+02 |       497.17 |        27.97 |       497.17
     6 |      360 | -4.127494E+01 | -4.971731E+02 |       497.17 |        41.27 |       497.17
     7 |      420 | -5.665419E+01 | -4.971731E+02 |       497.17 |        56.65 |       497.17
     8 |      480 | -8.123556E+01 | -4.971731E+02 |       497.17 |        81.24 |       497.17
     9 |      540 | -1.195563E+02 | -4.971731E+02 |       497.17 |       119.56 |       497.17
    10 |      600 | -1.720722E+02 | -6.455830E+02 |       645.58 |       172.07 |       645.58
    11 |      660 | -2.237225E+02 | -7.233216E+02 |       723.32 |       223.72 |       723.32
    12 |      720 | -2.644873E+02 | -7.233216E+02 |       723.32 |       264.49 |       723.32
    13 |      780 | -3.528834E+02 | -7.233216E+02 |       723.32 |       352.88 |       723.32
    14 |      840 | -4.460608E+02 | -7.409894E+02 |       740.99 |       446.06 |       740.99
    15 |      900 | -5.463076E+02 | -7.515901E+02 |       751.59 |       546.31 |       751.59
    16 |      960 | -5.740900E+02 | -7.763251E+02 |       776.33 |       574.09 |       776.33
    17 |     1020 | -6.207270E+02 | -7.975265E+02 |       797.53 |       620.73 |       797.53
    18 |     1080 | -6.551176E+02 | -8.363958E+02 |       836.40 |       655.12 |       836.40
    19 |     1140 | -7.012896E+02 | -8.434629E+02 |       843.46 |       701.29 |       843.46
    20 |     1200 | -7.510651E+02 | -9.004000E+02 |       900.40 |       751.07 |       900.40
    21 |     1260 | -7.900549E+02 | -9.064000E+02 |       906.40 |       790.05 |       906.40
    22 |     1320 | -8.179824E+02 | -9.087000E+02 |       908.70 |       817.98 |       908.70
    23 |     1380 | -8.672506E+02 | -9.146000E+02 |       914.60 |       867.25 |       914.60
    24 |     1440 | -8.865742E+02 | -9.146000E+02 |       914.60 |       886.57 |       914.60
    25 |     1500 | -9.031488E+02 | -9.146000E+02 |       914.60 |       903.15 |       914.60
    26 |     1560 | -9.072817E+02 | -9.146000E+02 |       914.60 |       907.28 |       914.60
    27 |     1620 | -9.101233E+02 | -9.163000E+02 |       916.30 |       910.12 |       916.30
    28 |     1680 | -9.121983E+02 | -9.184000E+02 |       918.40 |       912.20 |       918.40
    29 |     1740 | -9.136200E+02 | -9.188000E+02 |       918.80 |       913.62 |       918.80
    30 |     1800 | -9.146550E+02 | -9.207000E+02 |       920.70 |       914.65 |       920.70
    31 |     1860 | -9.162583E+02 | -9.211000E+02 |       921.10 |       916.26 |       921.10
    32 |     1920 | -9.178033E+02 | -9.226000E+02 |       922.60 |       917.80 |       922.60
    33 |     1980 | -9.189267E+02 | -9.226000E+02 |       922.60 |       918.93 |       922.60
    34 |     2040 | -9.196767E+02 | -9.226000E+02 |       922.60 |       919.68 |       922.60
    35 |     2100 | -9.200800E+02 | -9.226000E+02 |       922.60 |       920.08 |       922.60
    36 |     2160 | -9.205183E+02 | -9.231000E+02 |       923.10 |       920.52 |       923.10
    37 |     2220 | -9.210367E+02 | -9.243000E+02 |       924.30 |       921.04 |       924.30
    38 |     2280 | -9.216300E+02 | -9.255000E+02 |       925.50 |       921.63 |       925.50
    39 |     2340 | -9.220917E+02 | -9.255000E+02 |       925.50 |       922.09 |       925.50
    40 |     2400 | -9.227917E+02 | -9.255000E+02 |       925.50 |       922.79 |       925.50
    41 |     2460 | -9.232383E+02 | -9.255000E+02 |       925.50 |       923.24 |       925.50
    42 |     2520 | -9.236167E+02 | -9.261000E+02 |       926.10 |       923.62 |       926.10
    43 |     2580 | -9.238917E+02 | -9.261000E+02 |       926.10 |       923.89 |       926.10
    44 |     2640 | -9.241033E+02 | -9.261000E+02 |       926.10 |       924.10 |       926.10
    45 |     2700 | -9.243517E+02 | -9.261000E+02 |       926.10 |       924.35 |       926.10
    46 |     2760 | -9.245083E+02 | -9.261000E+02 |       926.10 |       924.51 |       926.10
    47 |     2820 | -9.246317E+02 | -9.261000E+02 |       926.10 |       924.63 |       926.10
    48 |     2880 | -9.248200E+02 | -9.261000E+02 |       926.10 |       924.82 |       926.10
    49 |     2940 | -9.249450E+02 | -9.261000E+02 |       926.10 |       924.94 |       926.10
    50 |     3000 | -9.250083E+02 | -9.261000E+02 |       926.10 |       925.01 |       926.10
    51 |     3060 | -9.251100E+02 | -9.266000E+02 |       926.60 |       925.11 |       926.60
    52 |     3120 | -9.251933E+02 | -9.266000E+02 |       926.60 |       925.19 |       926.60
    53 |     3180 | -9.252450E+02 | -9.266000E+02 |       926.60 |       925.24 |       926.60
    54 |     3240 | -9.253033E+02 | -9.266000E+02 |       926.60 |       925.30 |       926.60
    55 |     3300 | -9.253767E+02 | -9.268000E+02 |       926.80 |       925.38 |       926.80
    56 |     3360 | -9.254467E+02 | -9.268000E+02 |       926.80 |       925.45 |       926.80
    57 |     3420 | -9.254967E+02 | -9.268000E+02 |       926.80 |       925.50 |       926.80
    58 |     3480 | -9.255067E+02 | -9.268000E+02 |       926.80 |       925.51 |       926.80
    59 |     3540 | -9.255350E+02 | -9.268000E+02 |       926.80 |       925.53 |       926.80
    60 |     3600 | -9.255733E+02 | -9.268000E+02 |       926.80 |       925.57 |       926.80
    61 |     3660 | -9.255883E+02 | -9.268000E+02 |       926.80 |       925.59 |       926.80
    62 |     3720 | -9.256150E+02 | -9.268000E+02 |       926.80 |       925.61 |       926.80
    63 |     3780 | -9.256867E+02 | -9.268000E+02 |       926.80 |       925.69 |       926.80
    64 |     3840 | -9.257517E+02 | -9.268000E+02 |       926.80 |       925.75 |       926.80
    65 |     3900 | -9.257650E+02 | -9.268000E+02 |       926.80 |       925.76 |       926.80
    66 |     3960 | -9.257717E+02 | -9.268000E+02 |       926.80 |       925.77 |       926.80
    67 |     4020 | -9.257833E+02 | -9.268000E+02 |       926.80 |       925.78 |       926.80
    68 |     4080 | -9.257850E+02 | -9.268000E+02 |       926.80 |       925.78 |       926.80
    69 |     4140 | -9.258317E+02 | -9.269000E+02 |       926.90 |       925.83 |       926.90
    70 |     4200 | -9.258800E+02 | -9.269000E+02 |       926.90 |       925.88 |       926.90
    71 |     4260 | -9.258867E+02 | -9.269000E+02 |       926.90 |       925.89 |       926.90
    72 |     4320 | -9.259217E+02 | -9.270000E+02 |       927.00 |       925.92 |       927.00
    73 |     4380 | -9.259700E+02 | -9.270000E+02 |       927.00 |       925.97 |       927.00
    74 |     4440 | -9.259783E+02 | -9.270000E+02 |       927.00 |       925.98 |       927.00
    75 |     4500 | -9.259967E+02 | -9.270000E+02 |       927.00 |       926.00 |       927.00
    76 |     4560 | -9.260133E+02 | -9.270000E+02 |       927.00 |       926.01 |       927.00
    77 |     4620 | -9.260467E+02 | -9.270000E+02 |       927.00 |       926.05 |       927.00
    78 |     4680 | -9.260750E+02 | -9.273000E+02 |       927.30 |       926.07 |       927.30
    79 |     4740 | -9.260867E+02 | -9.273000E+02 |       927.30 |       926.09 |       927.30
    80 |     4800 | -9.261000E+02 | -9.273000E+02 |       927.30 |       926.10 |       927.30
    81 |     4860 | -9.261667E+02 | -9.284000E+02 |       928.40 |       926.17 |       928.40
    82 |     4920 | -9.261783E+02 | -9.284000E+02 |       928.40 |       926.18 |       928.40
    83 |     4980 | -9.261817E+02 | -9.284000E+02 |       928.40 |       926.18 |       928.40
    84 |     5040 | -9.261983E+02 | -9.284000E+02 |       928.40 |       926.20 |       928.40
    85 |     5100 | -9.261983E+02 | -9.284000E+02 |       928.40 |       926.20 |       928.40
    86 |     5160 | -9.262467E+02 | -9.284000E+02 |       928.40 |       926.25 |       928.40
    87 |     5220 | -9.262483E+02 | -9.284000E+02 |       928.40 |       926.25 |       928.40
    88 |     5280 | -9.262617E+02 | -9.284000E+02 |       928.40 |       926.26 |       928.40
    89 |     5340 | -9.262883E+02 | -9.284000E+02 |       928.40 |       926.29 |       928.40
    90 |     5400 | -9.262950E+02 | -9.284000E+02 |       928.40 |       926.29 |       928.40
    91 |     5460 | -9.262950E+02 | -9.284000E+02 |       928.40 |       926.29 |       928.40
    92 |     5520 | -9.262950E+02 | -9.284000E+02 |       928.40 |       926.29 |       928.40
    93 |     5580 | -9.263133E+02 | -9.284000E+02 |       928.40 |       926.31 |       928.40
    94 |     5640 | -9.263183E+02 | -9.284000E+02 |       928.40 |       926.32 |       928.40
    95 |     5700 | -9.263183E+02 | -9.284000E+02 |       928.40 |       926.32 |       928.40
    96 |     5760 | -9.263183E+02 | -9.284000E+02 |       928.40 |       926.32 |       928.40
    97 |     5820 | -9.263400E+02 | -9.284000E+02 |       928.40 |       926.34 |       928.40
    98 |     5880 | -9.263467E+02 | -9.284000E+02 |       928.40 |       926.35 |       928.40
    99 |     5940 | -9.263883E+02 | -9.284000E+02 |       928.40 |       926.39 |       928.40
   100 |     6000 | -9.264183E+02 | -9.284000E+02 |       928.40 |       926.42 |       928.40
   101 |     6060 | -9.264200E+02 | -9.284000E+02 |       928.40 |       926.42 |       928.40
   102 |     6120 | -9.264433E+02 | -9.284000E+02 |       928.40 |       926.44 |       928.40
   103 |     6180 | -9.264933E+02 | -9.290000E+02 |       929.00 |       926.49 |       929.00
   104 |     6240 | -9.265133E+02 | -9.290000E+02 |       929.00 |       926.51 |       929.00
   105 |     6300 | -9.265450E+02 | -9.290000E+02 |       929.00 |       926.54 |       929.00
   106 |     6360 | -9.265900E+02 | -9.290000E+02 |       929.00 |       926.59 |       929.00
   107 |     6420 | -9.266233E+02 | -9.290000E+02 |       929.00 |       926.62 |       929.00
   108 |     6480 | -9.266567E+02 | -9.290000E+02 |       929.00 |       926.66 |       929.00
   109 |     6540 | -9.266617E+02 | -9.290000E+02 |       929.00 |       926.66 |       929.00
   110 |     6600 | -9.267117E+02 | -9.290000E+02 |       929.00 |       926.71 |       929.00
   111 |     6660 | -9.267550E+02 | -9.290000E+02 |       929.00 |       926.75 |       929.00
   112 |     6720 | -9.267550E+02 | -9.290000E+02 |       929.00 |       926.75 |       929.00
   113 |     6780 | -9.267733E+02 | -9.290000E+02 |       929.00 |       926.77 |       929.00
   114 |     6840 | -9.267750E+02 | -9.290000E+02 |       929.00 |       926.77 |       929.00
   115 |     6900 | -9.268167E+02 | -9.290000E+02 |       929.00 |       926.82 |       929.00
   116 |     6960 | -9.268417E+02 | -9.290000E+02 |       929.00 |       926.84 |       929.00
   117 |     7020 | -9.268600E+02 | -9.290000E+02 |       929.00 |       926.86 |       929.00
   118 |     7080 | -9.268883E+02 | -9.290000E+02 |       929.00 |       926.89 |       929.00
   119 |     7140 | -9.269117E+02 | -9.290000E+02 |       929.00 |       926.91 |       929.00
   120 |     7200 | -9.269967E+02 | -9.290000E+02 |       929.00 |       927.00 |       929.00
   121 |     7260 | -9.270683E+02 | -9.290000E+02 |       929.00 |       927.07 |       929.00
   122 |     7320 | -9.271483E+02 | -9.290000E+02 |       929.00 |       927.15 |       929.00
   123 |     7380 | -9.272883E+02 | -9.290000E+02 |       929.00 |       927.29 |       929.00
   124 |     7440 | -9.273200E+02 | -9.290000E+02 |       929.00 |       927.32 |       929.00
   125 |     7500 | -9.273983E+02 | -9.290000E+02 |       929.00 |       927.40 |       929.00
   126 |     7560 | -9.274917E+02 | -9.290000E+02 |       929.00 |       927.49 |       929.00
   127 |     7620 | -9.276017E+02 | -9.291000E+02 |       929.10 |       927.60 |       929.10
   128 |     7680 | -9.276300E+02 | -9.291000E+02 |       929.10 |       927.63 |       929.10
   129 |     7740 | -9.277033E+02 | -9.292000E+02 |       929.20 |       927.70 |       929.20
   130 |     7800 | -9.277633E+02 | -9.292000E+02 |       929.20 |       927.76 |       929.20
   131 |     7860 | -9.278467E+02 | -9.292000E+02 |       929.20 |       927.85 |       929.20
   132 |     7920 | -9.278750E+02 | -9.292000E+02 |       929.20 |       927.87 |       929.20
   133 |     7980 | -9.278933E+02 | -9.292000E+02 |       929.20 |       927.89 |       929.20
   134 |     8040 | -9.279400E+02 | -9.292000E+02 |       929.20 |       927.94 |       929.20
   135 |     8100 | -9.279983E+02 | -9.292000E+02 |       929.20 |       928.00 |       929.20
   136 |     8160 | -9.280267E+02 | -9.292000E+02 |       929.20 |       928.03 |       929.20
   137 |     8220 | -9.280950E+02 | -9.297000E+02 |       929.70 |       928.09 |       929.70
   138 |     8280 | -9.281600E+02 | -9.297000E+02 |       929.70 |       928.16 |       929.70
   139 |     8340 | -9.282017E+02 | -9.297000E+02 |       929.70 |       928.20 |       929.70
   140 |     8400 | -9.282283E+02 | -9.297000E+02 |       929.70 |       928.23 |       929.70
   141 |     8460 | -9.282483E+02 | -9.297000E+02 |       929.70 |       928.25 |       929.70
   142 |     8520 | -9.282700E+02 | -9.297000E+02 |       929.70 |       928.27 |       929.70
