
[Job Tracker] Initialized job: train-mountaincar-5005804f
[Job Tracker] Job directory: jobs/train-mountaincar-5005804f
[Job Tracker] Output log: jobs/train-mountaincar-5005804f/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.2
Crossover rate: 0.5
Generation interval: 0.5
Episodes per evaluation: 3
Parallel workers: 8
Training MountainCar agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 2 -> [16, 8] -> 1
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
==============================================================================================
     1 |       60 |  2.000000E+02 |  2.000000E+02 |      -200.00 |      -200.00 |      -200.00
     2 |      120 |  2.000000E+02 |  2.000000E+02 |      -200.00 |      -200.00 |      -200.00
     3 |      180 |  1.992722E+02 |  1.563333E+02 |      -156.33 |      -199.27 |      -156.33
     4 |      240 |  1.992722E+02 |  1.563333E+02 |      -156.33 |      -199.27 |      -156.33
     5 |      300 |  1.986611E+02 |  1.563333E+02 |      -156.33 |      -198.66 |      -156.33
     6 |      360 |  1.986611E+02 |  1.563333E+02 |      -156.33 |      -198.66 |      -156.33
     7 |      420 |  1.986611E+02 |  1.563333E+02 |      -156.33 |      -198.66 |      -156.33
     8 |      480 |  1.979333E+02 |  1.563333E+02 |      -156.33 |      -197.93 |      -156.33
     9 |      540 |  1.979333E+02 |  1.563333E+02 |      -156.33 |      -197.93 |      -156.33
    10 |      600 |  1.979333E+02 |  1.563333E+02 |      -156.33 |      -197.93 |      -156.33
    11 |      660 |  1.973222E+02 |  1.563333E+02 |      -156.33 |      -197.32 |      -156.33
    12 |      720 |  1.962056E+02 |  1.563333E+02 |      -156.33 |      -196.21 |      -156.33
    13 |      780 |  1.954778E+02 |  1.563333E+02 |      -156.33 |      -195.48 |      -156.33
    14 |      840 |  1.926556E+02 |  1.563333E+02 |      -156.33 |      -192.66 |      -156.33
    15 |      900 |  1.871556E+02 |  1.553333E+02 |      -155.33 |      -187.16 |      -155.33
    16 |      960 |  1.758167E+02 |  1.470000E+02 |      -147.00 |      -175.82 |      -147.00
    17 |     1020 |  1.596333E+02 |  1.470000E+02 |      -147.00 |      -159.63 |      -147.00
    18 |     1080 |  1.549444E+02 |  1.470000E+02 |      -147.00 |      -154.94 |      -147.00
    19 |     1140 |  1.530444E+02 |  1.470000E+02 |      -147.00 |      -153.04 |      -147.00
    20 |     1200 |  1.507667E+02 |  1.470000E+02 |      -147.00 |      -150.77 |      -147.00
    21 |     1260 |  1.483222E+02 |  1.463333E+02 |      -146.33 |      -148.32 |      -146.33
    22 |     1320 |  1.477222E+02 |  1.463333E+02 |      -146.33 |      -147.72 |      -146.33
    23 |     1380 |  1.473167E+02 |  1.463333E+02 |      -146.33 |      -147.32 |      -146.33
