
[Job Tracker] Initialized job: train-mountaincar-8ad2d957
[Job Tracker] Job directory: jobs/train-mountaincar-8ad2d957
[Job Tracker] Output log: jobs/train-mountaincar-8ad2d957/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.08
Crossover rate: 0.9
Generation interval: 0.5
Episodes per evaluation: 3
Parallel workers: 8
Training MountainCar agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 2 -> [16, 8] -> 1
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
==============================================================================================
     1 |       60 |  2.000000E+02 |  2.000000E+02 |      -200.00 |      -200.00 |      -200.00
     2 |      120 |  2.000000E+02 |  2.000000E+02 |      -200.00 |      -200.00 |      -200.00
     3 |      180 |  2.000000E+02 |  2.000000E+02 |      -200.00 |      -200.00 |      -200.00
     4 |      240 |  2.000000E+02 |  2.000000E+02 |      -200.00 |      -200.00 |      -200.00
     5 |      300 |  2.000000E+02 |  2.000000E+02 |      -200.00 |      -200.00 |      -200.00
     6 |      360 |  2.000000E+02 |  2.000000E+02 |      -200.00 |      -200.00 |      -200.00
     7 |      420 |  2.000000E+02 |  2.000000E+02 |      -200.00 |      -200.00 |      -200.00
     8 |      480 |  1.996833E+02 |  1.810000E+02 |      -181.00 |      -199.68 |      -181.00
     9 |      540 |  1.996833E+02 |  1.810000E+02 |      -181.00 |      -199.68 |      -181.00
    10 |      600 |  1.996833E+02 |  1.810000E+02 |      -181.00 |      -199.68 |      -181.00
    11 |      660 |  1.996833E+02 |  1.810000E+02 |      -181.00 |      -199.68 |      -181.00
    12 |      720 |  1.996833E+02 |  1.810000E+02 |      -181.00 |      -199.68 |      -181.00
    13 |      780 |  1.996833E+02 |  1.810000E+02 |      -181.00 |      -199.68 |      -181.00
    14 |      840 |  1.996833E+02 |  1.810000E+02 |      -181.00 |      -199.68 |      -181.00
    15 |      900 |  1.996833E+02 |  1.810000E+02 |      -181.00 |      -199.68 |      -181.00
    16 |      960 |  1.990167E+02 |  1.600000E+02 |      -160.00 |      -199.02 |      -160.00
    17 |     1020 |  1.990167E+02 |  1.600000E+02 |      -160.00 |      -199.02 |      -160.00
    18 |     1080 |  1.990167E+02 |  1.600000E+02 |      -160.00 |      -199.02 |      -160.00
    19 |     1140 |  1.990167E+02 |  1.600000E+02 |      -160.00 |      -199.02 |      -160.00
    20 |     1200 |  1.990167E+02 |  1.600000E+02 |      -160.00 |      -199.02 |      -160.00
    21 |     1260 |  1.989889E+02 |  1.600000E+02 |      -160.00 |      -198.99 |      -160.00
    22 |     1320 |  1.989889E+02 |  1.600000E+02 |      -160.00 |      -198.99 |      -160.00
    23 |     1380 |  1.989889E+02 |  1.600000E+02 |      -160.00 |      -198.99 |      -160.00
